Základná škola,Košický,Družstevná pri Hornáde,"ZŠ - Družstevná pri Hornáde, Hlavná",Hlavná 5,25
Základná škola,Košický,Čečejovce,"ZŠ s MŠ - Čečejovce, Školská",Školská 7,15.1
Základná škola,Košický,Medzev,"ZŠ - Medzev, Štóska",Štóska 183,37.5
Základná škola,Košický,Košická Belá,ZŠ - Košická Belá,Košická Belá 235,8.3
Základná škola,Košický,Nižný Klátov,"ZŠ - Nižný Klátov, Klátovská",Klátovská 56,8.6
Základná škola,Košický,Kysak,ZŠ - Kysak,Kysak 210,12.3
Základná škola,Košický,Košická Polianka,ZŠ - Košická Polianka,Košická Polianka 148,7.3
Základná škola,Košický,Ždaňa,"ZŠ - Ždaňa, Jarmočná",Jarmočná 96,13.1
Základná škola,Košický,Moldava nad Bodvou,"ZŠ - Moldava n.B., Severná",Severná 21,24.3
Základná škola,Košický,Malá Ida,"ZŠ - Malá Ida, Školská",Školská 10,17.3
Základná škola,Košický,Jasov,"ZŠ - Jasov, Školská",Školská 3,41.1
Základná škola,Košický,Rozhanovce,"ZŠ - Rozhanovce,  SNP",Ul. SNP 121,20
Základná škola,Košický,Trstené pri Hornáde,"ZŠ - Trstené pri Hornáde, Školská",Školská 94,11.7
Základná škola,Košický,Ďurkov,ZŠ - Ďurkov,Ďurkov 192,17.5
Základná škola,Košický,Kecerovce,ZŠ - Kecerovce,Kecerovce 79,50.7
Základná škola,Košický,Veľká Ida,ZŠ - Veľká Ida,Veľká Ida 1,36
Základná škola,Košický,Turňa nad Bodvou,"ZŠ - Turňa n.B., Školská",Školská ulica 301/16,19.7
Základná škola,Košický,Boľ,"ZŠ s MŠ VJM - Boľ, Školská",Školská 233,15.5
Základná škola,Košický,Cejkov,"ZŠ - Cejkov, Hlavná",Hlavná 333,14.1
Základná škola,Košický,Veľký Horeš,"ZŠ s VJM - Veľký Horeš, Školská",Školská 348,9.1
MŠ celodenná starostlivosť,Košický,Sečovce,"Materská škola - Sečovce, Obchodná",Obchodná 26/63,8.9
MŠ celodenná starostlivosť,Košický,Sečovce,"Materská škola - Sečovce, Jarná",Jarná 20,7.1
MŠ celodenná starostlivosť,Košický,Trebišov,"Materská škola - Trebišov, Škultétyho",Škultétyho 1031/26,24.7
MŠ celodenná starostlivosť,Košický,Trebišov,"Materská škola - Trebišov, Komenského",Komenského 1964/11,13
MŠ celodenná starostlivosť,Košický,Trebišov,"Materská škola - Trebišov, Hviezdoslava",Hviezdoslava 422/3,21.2
Základná škola,Košický,Turňa nad Bodvou,"ZŠ s VJM - Turňa n.B., Školská",Školská ulica 301/12,24.5
Základná škola,Košický,Bežovce,ZŠ s MŠ - Bežovce,Bežovce 417,13.6
Základná škola,Košický,Blatné Remety,ZŠ - Blatné Remety,Blatné Remety 98,14.4
Základná škola,Košický,Krčava,ZŠ s MŠ - Krčava,Krčava 184,12.1
